매장이름,"위치(시,구)",주소,전화번호
부평로데오점,인천 부평구,"인천광역시 부평구 시장로 17-1 (부평동, 인일 빌딩) 1,2,3층",032-505-7130
충북오송점,충북 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍 만수1길 3 .,043-239-0075
여의도파이낸스타워점,서울 영등포구,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층(여의도동 23-8)",02-761-3154
부산대학교병원2호점,부산 서구,부산광역시 서구 구덕로 179 C동 암센터 ..,051-231-9475
부산대학교병원1호점,부산 서구,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원) 1층",051-231-9648
김포농협본점,경기 김포시,경기도 김포시 홍도평로 20 (걸포동) 김포농협하나로마트본점 2층,031-986-7932
다산지금점,경기 남양주시,경기도 남양주시 다산중앙로82번안길 143-15 101호,070-7778-2409
서울대병원점,서울 종로구,"서울특별시 종로구 대학로 101 (연건동, 서울대학교의과대학)",02-741-5815
가양점,서울 강서구,"서울특별시 강서구 양천로 583 (염창동, 우림블루나인비즈니스센터) 1층 (토요일 휴점)",02-2093-2977
구로디지털뉴스테이점,서울 영등포구,서울시 영등포구 시흥대로 595 105호,070-7547-4100
경주보불로점,경북 경주시,경북 경주시 보불로 305 .,054-744-7700
울산명촌점,울산 북구,울산광역시 북구 명촌로 59 .,052-289-9905
전북김제점,전북 김제시,전북 김제시 검산택지 5길 21-10 1층,063-547-9600
대구침산네거리점,대구 북구,대구광역시 북구 침산남로 157 (침산동) .,053-353-5544
대전역점,대전 동구,"대전광역시 동구 중앙로 215 (정동, 대전역) 3층",없음
센터포인트점,서울 종로구,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",02-6031-6213
홍대입구역점,서울 마포구,"서울특별시 마포구 양화로 151, 1층 (동교동 160-1) 할리스",02-322-3584
마두역점,경기 고양시 일산동구,"경기도 고양시 일산동구 중앙로 1165, 1층일부 1층",070-8866-7558
군산미장점,전북 군산시,전라북도 군산시 미장안길 54  .,063-442-8777
백석예술대학교점,서울 서초구,"서울특별시 서초구 방배로9길 23 (방배동, 백석예술대학교) 3층",02-585-9150
대전오류점,대전 중구,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 오류동 151-3",042-522-3141
카페테리아&삼성점,서울 강남구,"서울시 강남구 삼성로 512, 10층 인터파크 카페테리아 (삼성동) .",2188-7100
역삼테헤란점,서울 강남구,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 1층 (역삼동 647-9) 할리스",02-501-3573
대구현풍테크노점,대구 달성군,대구시 달성군 유가읍 테크노공원로 65 .,053-267-3338
전남장흥점,전남 장흥군,전라남도 장흥군 장흥읍 북부로 18 .,061-862-0119
충남대점,대전 유성구,대전광역시 유성구 대학로 84 (궁동 482-6) .,070-7543-1009
화성병점점,경기 화성시,"경기도 화성시 병점동로 105 1,2층(진안동)",031-239-0455
구리수택점,경기 구리시,경기도 구리시 검배로 73 (수택동) 할리스,031-551-0988
난곡사거리점,서울 관악구,서울 관악구 남부순환로 1489 신림동 526-13,02-865-0012
신정네거리역점,서울 양천구,서울특별시 양천구 중앙로 252 2층 .,02-2645-9957
구미CGV점,경북 구미시,"경상북도 구미시 구미중앙로 44 (원평동, 멀티복합상가) 원평동 68-1, 1층",054-604-0375
역곡역점,경기 부천시 원미구,경기 부천시 부일로726번길 5 (역곡동 80) 역곡역 2번출구 사거리에서 가톨릭대학교방향 좌회전 후 약 50M,070-8887-4965
오산대역DT점,경기 오산시,경기도 오산시 경기대로 491 (수청동) 1층~3층 할리스,031-372-9750
을지로입구점,서울 중구,서울특별시 중구 명동3길 23 (을지로2가) 1~4층 할리스 ,02-318-6381
구미금오산점,경북 구미시,경상북도 구미시 금오산로 209 (남통동) 할리스커피 구미금오산점 ,054-441-4452
(하)매송휴게소점,경기 화성시,경기 화성시 매송면 서해안고속도로 315 목포방향 서해안고속도로 315 목포방향,없음
(상)매송휴게소점,경기 화성시,경기 화성시 매송면 서해안고속도로 316 서울방향 .,없음
창원팔용점,경남 창원시 의창구,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,055-298-3434
전주남천교점,전북 전주시 완산구,전라북도 전주시 완산구 전주천서로 81 (동서학동) .,063-232-6000
수지동천갤러리점,경기 용인시 수지구,"경기도 용인시 수지구 동천로192번길 4 (동천동) 1,2층 동천동 484-38번지",031-2761-3600
부산연산점,부산 연제구,부산광역시 연제구 반송로 89 (연산동) 1층,051-989-3296
대구침산점,대구 북구,"대구 북구 성북로 36,2층 601,602,603,604 473-3, 침산초등학교 맞은편",053-353-5412
대구안심점,대구 동구,대구시 동구 안심로 90길29 .,053)552-2220
(하)홍천휴게소점,강원 홍천군,강원도 홍천군 화촌면 서울양양고속도로 84 .,.
동탄카림애비뉴점,경기 화성시,경기도 화성시 동탄대로시범길 134 .,031-372-1650
봉담원희캐슬점,경기 화성시,경기도 화성시 봉담읍 동화길 51 (봉담읍) 1층,031-5183-3817
대구동성로점,대구 중구,"대구광역시 중구 동성로6길 32, B1~2층 (공평동 52-2) 할리스",053-252-6307
응암역점,서울 은평구,서울특별시 은평구 증산로 475 .,02-3152-2910
상남중앙점,경남 창원시 성산구,경상남도 창원시 성산구 마디미로38번길 11 (상남동 25) 할리스,055-261-5925
인천주안역점,인천 남구,"인천광역시 미추홀구 주안로 105 1,2층 주안동 130-10",032-425-1793
울산삼산대로점,울산 남구,울산광역시 남구 정동로 71 (삼산동) 삼산동,052-293-2234
구리장자호수공원점,경기 구리시,"경기도 구리시 장자대로 86번길 18 1,2층 (참참존빌딩)",031-568-7232
이대점,서울 서대문구,"서울특별시 서대문구 이화여대길 59 (대현동, 메르체쇼핑몰) 엘큐브 3층",02-392-1008
동대구환승센터점,대구 동구,"대구광역시 동구 동부로 149 (신천동, 신세계동대구복합환승센터) 3층",053-742-0614
광주문흥점,광주 북구,광주광역시 북구 서하로 373 (문흥동) 102호,062-265-4931
수원경인일보점,경기 수원시 팔달구,경기도 수원시 팔달구 효원로 299 .,031-226-0530
부산광안해변점,부산 수영구,부산광역시 수영구 광안해변로 251 (민락동) 178-5,051-752-4551
파주야당역점,경기 파주시,"경기도 파주시 경의로 1042 (야당동) 1,2층",031 946 4823
목동예술인회관점,서울 양천구,"서울시 양천구 목동서로 225, 예술인회관 1층 1층",02-2655-1300
당고개역점,서울 노원구,서울특별시 노원구 덕릉로126길 11 (상계동) .,02-951-1029
원당점,경기 고양시 덕양구,"경기도 고양시 덕양구 호국로 797, 대동피렌체 104~106호 1층",031-964-7785
(하)괴산휴게소점,충북 괴산군,충북 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소  할리스커피,043-832-7966
(상)보성녹차휴게소점,전남 보성군,전라남도 보성군 미력면 남해고속도로 63 (보성녹차(목포)주유소) 목포방향,070-4325-8801
(하)보성녹차휴게소점,전남 보성군,전남 보성군 겸백면 남해고속도로 70 .,070-4325-8808
선릉샹제리제점,서울 강남구,"서울특별시 강남구 테헤란로 406 (대치동, 샹제리제센터) 1층",02-501-4255
양주고읍점,경기 양주시,"경기도 양주시 고읍남로 10 (광사동) 1,2층",031-843-0078
인천연수CGV점,인천 연수구,인천 연수구 청능대로 210 (스쿼어원 4층) 동춘동 926 ,032-456-4499
(상)추풍령휴게소점,경북 김천시,경북 김천시 봉산면 경부고속도로 214-1 광천리 737-1 (서울방향),054-439-3187
울산풍차DT점,울산 북구,울산광역시 북구 산업로 1440 신천동 456,052-292-8181
(하)만남의광장점,서울 서초구,"서울특별시 서초구 양재대로12길 73-71 (원지동, 만남의광장) 할리스커피",02-578-3372
시흥하늘휴게소점,경기 시흥시,경기도 시흥시 수도권제1순환고속도로 105-1 (조남동) .,070-4233-9004
대전타임월드점,대전 서구,대전광역시 서구 둔산로 32-13 (둔산동) .,042-489-1315
남악신도시점,전남 무안군,"전라남도 무안군 삼향읍 남악로 234 트리폴리앙 B동 1, 108호 .",061-282-8280
대구디아크점,대구 달성군,"대구광역시 달성군 다사읍 강정본길 57, 3층 .",053-591-2209
(상)장안휴게소점,부산 기장군,부산광역시 기장군 장안읍 동해고속도로 26 .,051-727-3714
(하)장안휴게소점,부산 기장군,부산광역시 기장군 장안읍 동해고속도로 25 (장안휴게소하행) .,051-727-3647
경남통영점,경남 통영시,"경상남도 통영시 무전8길 33 (무전동, 로운빌딩) .",055-649-1314
충무로역점,서울 중구,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",02-2268-8960
(상)마장휴게소점,경기 이천시,경기도 이천시 마장면 중부고속도로 82 마장휴게소 상행 하남방향,031-630-0001
세종소담DI점,세종 세종시,세종 특별자치시 소담동 570 .,044-862-9027
부산BIFF광장점,부산 중구,"부산 중구 비프광장로 31-1, 1층 .",051-242-6552
부산역사점,부산 동구,"부산광역시 동구 중앙대로 206 (초량동, 한국철도공사부산지역본부) 2충 초량동 1187-1",051-441-0918
광주일곡점,광주 북구,광주광역시 북구 일곡동 821-5    1~3층,070-7716-0123
양주점,경기 양주시,경기도 양주시 평화로 1407 (덕계동) .,031-868-5779
당진푸르지오점,충남 당진시,충청남도 당진시 읍내동 1590 1층 희은빌라 .,041-354-2004
대전전민점,대전 유성구,대전광역시 유성구 전민로22번길 62 전민동 306-1,042-389-2831
홍천점,강원 홍천군,강원도 홍천군 홍천읍 꽃뫼로 98 .,033-432-3368
목포하당점,전남 목포시,전라남도 목포시 비파로51번길 37 (상동) .,061-283-9800
김천혁신도시점,경북 김천시,경상북도 김천시 혁신로 246 .,054-433-4333
대구팔달교DT점,대구 서구,대구광역시 서구 팔달로 34 .,053-341-9595
별내카페거리점,경기 남양주시,경기도 남양주시 두물로39번길 33 (별내동) .,031-574-5655
파주탄현점,경기 파주시,"경기도 파주시 탄현면 방촌로 1017 1,2층",031-947-9477
(상)안성휴게소점,경기 안성시,경기도 안성시 원곡면 산하리 67-3  000,x
광주우산점,광주 광산구,광주광역시 광산구 풍영철길로 12 (우산동) 1층,062-956-6582
군산수송점,전북 군산시,전라북도 군산시 수송동 831-1 1층,063-467-9500
동탄호수공원점,경기 화성시,경기도 화성시 동탄면 동탄순환대로5길 15 .,031-373-5223
수원인계점,경기 수원시,경기도 수원시 팔달구 인계로138번길 49 (인계동) .,031-222-6842
영종하늘도시점,인천 중구,인천 중구 하늘달빛로 90-21 중산동 1876-9,032-752-1761
서대문역점,서울 서대문구,서울특별시 서대문구 통일로9안길 28 (충정로2가) 1층,02-313-0807
신림고시촌점,서울 관악구,서울특별시 관악구 호암로 605 (신림동) 1층,02-871-0777
동부산우체국점,부산 동구,"부산광역시 동구 조방로 15, 1층  .",051-631-3193
안산로데오점,경기 안산시 단원구,경기도 안산시 단원구 중앙대로 907 .,031-405-7337
안성팜랜드점,경기 안성시,"경기도 안성시 공도읍 대신두길 28, 안성팜랜드 .",070-4228-7345
양산원동점,경남 양산시,경상남도 양산시 원동면 원동로 1429 .,055-372-0268
광주금호점,광주 서구,광주광역시 서구 운천로 3 (금호동 762-6) 1층,062-385-0725
인천엠파크허브점,인천 서구,"인천광역시 서구 염곡로 52, 엠파크 허브동 103호 (가좌동 150-19) .",032-265-0103
대구본리점,대구 달서구,대구광역시 달서구 장기로 203 (본리동 62-16) .,053-553-3002
명지국제신도시점,부산 강서구,부산광역시 강서구 명지국제11로 57 (명지동 3334-4) .,051-271-5600
유스퀘어CGV점,광주 서구,"광주광역시 서구 무진대로 904, 유스퀘어 2층 (광천동, 49-1) .",062-351-4687
광주오치점,광주 북구,광주광역시 북구 서하로 185 (오치동 862-21) 1층,062-251-5684
광주운남점,광주 광산구,광주광역시 광산구 하남대로 248-13 (운남동 771-3 ) 1층,062-951-5979
익산어양점,전북 익산시,"전라북도 익산시 동서로63길 4, 101호 (어양동, 하모니시티) 1층",063-832-4700
전주백제대로점,전북 전주시 덕진구,전라북도 전주시 덕진구 백제대로 금암동 1550-1,063-271-5066
의정부민락점,경기 의정부시,"경기도 의정부시 오목로205번길 55 (민락동, 메가타워) .",031-851-3633
동천안우체국점,충남 천안시 동남구,"충청남도 천안시 동남구 청수5로 10, 1층 .",041-522-5024
(상)사천휴게소점,경남 사천시,경상남도 사천시 곤양면 묵실길 31-11 (순천방향) .,055-854-3574
(하)사천휴게소점,경남 사천시,경상남도 사천시 곤양면 서삼로 619 (부산방향) .,055-854-3134
전북도청점,전북 전주시 완산구,"전라북도 전주시 완산구 홍산남로 51, 102~103호 일부(효자동3가) 1층",063-228-4005
전북부안점,전북 부안군,"전라북도 부안군 부안읍 석정로 269, 1층 .",063-581-0620
별내북부역점,경기 남양주시,경기도 남양주시 순화궁로 449 (별내동) .,031-555-0128
한양대시티빌점,서울 성동구,서울특별시 성동구 마조로1가길 9 (행당동) .,02-2299-9934
동해촛대바위점,강원 동해시,강원도 동해시 촛대바위길 16 (추암동 1-6) .,033-522-0117
경산중방점,경북 경산시,"경상북도 경산시 경안로 205, 2층 .",053-814-9980
울산공항1호점,울산 북구,울산광역시 북구 산업로 1103 울산공항 2층 일반대합실 .,052-289-5525
울산공항2호점,울산 북구,울산광역시 북구 산업로 1103 울산공항 2층 격리대합실 .,없음
논현역점,서울 서초구,"서울특별시 서초구 신반포로 332 (반포동, 우진빌딩) 1층",02-515-1162
포이사거리점,서울 서초구,서울특별시 서초구 논현로19길 5 (양재동) .,070-4409-4246
부산송도점,부산 서구,부산광역시 서구 송도해변로 61-1 .,051-255-6100
평택서재점,경기 평택시,"경기도 평택시 서재로 26-24 (동삭동) 1,2층 .",031-651-2750
원주단계택지점,강원 원주시,강원도 원주시 장미공원길 27-9 .,033-745-5007
수서점,서울 강남구,"서울특별시 강남구 밤고개로1길 10 (수서동, 수서현대벤쳐빌) 지하1층",02-451-0723
수원오목천점,경기 수원시 권선구,경기도 수원시 권선구 서수원로 179 1~2층,031-291-7933
(상)군위휴게소점,경북 군위군,경상북도 군위군 군위읍 경북대로 4084 부산방향,054-383-6114
양산신도시점,경남 양산시,경상남도 양산시 물금읍 야리로 127 .,055-366-0268
전북대덕진광장점,전북 전주시 덕진구,"전라북도 전주시 덕진구 덕진광장로12, 1층 2층(덕진동1가) 1층",063-272-2400
(상)지리산휴게소점,전북 남원시,전라북도 남원시 아영면 광주대구고속도로 76 (대구방면),063-636-7191
(하)지리산휴게소점,전북 남원시,"전라북도 남원시 아영면 광주대구고속도로 75 (지리산휴게소(하)광주방면) (광주, 고서,담양방면)",063-636-7195
여수웅천점,전남 여수시,전라남도 여수시 예울마루로 35-24 (웅천동) .,061-681-2522
대구장기점,대구 달서구,대구광역시 달서구 장기로 268 .,053-522-0666
(상)남성주휴게소점,경북 성주군,"경상북도 성주군 용암면 중부내륙고속도로 76 (본리리, 남성주(양평방향)휴게소) 양평방향",054-931-5742
전북대병원점,전북 전주시 덕진구,"전라북도 전주시 덕진구 건지로 20 (금암동, 전북대학교병원 할리스커피) 전북대병원 내 본관-호흡기센터 사이 위치",063-250-2428
고속터미널영동선점,서울 서초구,"서울특별시 서초구 신반포로 194 (반포동, 강남고속버스터미널) 2층 A-2호",02-591-1555
(상)옥천휴게소점,충북 옥천군,"충청북도 옥천군 옥천읍 옥천동이로 242-34 (매화리, 옥천상휴게소) .",043-731-8096
세종어진점,세종 세종시,"세종특별자치시 절재로 194 (어진동, 중앙타운) 133호,214호 .",070-7766-1589
대구동천점,대구 북구,대구광역시 북구 동천로 125 (동천동) .,053-321-0099
(상)외동휴게소점,경북 경주시,경상북도 경주시 외동읍 석계리 970번지 상석길 58-70,054-745-0631
부산다대포전망대점,부산 사하구,부산광역시 사하구 다대낙조2길 85 (다대동) .,051-265-9191
(하)남성주휴게소점,경북 성주군,"경상북도 성주군 선남면 중부내륙고속도로 77 (명포리, 남성주(창원방향)휴게소) 창원방향",054-933-7105
안양역점,경기 안양시 만안구,경기도 안양시 만안구 장내로139번길 61 .,031-466-2879
대전도안마을점,대전 유성구,"대전광역시 유성구 도안대로 560 (봉명동, 도안마을1단지) .",042-826-6080
전주하가점,전북 전주시 덕진구,전라북도 전주시 덕진구 가련산로 25 (덕진동2가) 1층,063-275-1230
구로점,서울 구로구,서울특별시 구로구 디지털로34길 55 (코오롱싸이언스밸리2차) 1층 (일요일 휴점),02-2025-0255
고양행신점,경기 고양시 덕양구,경기도 고양시 덕양구 충경로 37 (행신동) 1층,031-938-4055
대구범어점,대구 수성구,대구광역시 수성구 범어천로 44 (범어동) .,053-761-2187
인계써드아이점,경기 수원시,경기도 수원시 팔달구 인계로 130 (인계동) 1층,031-232-0727
아산우체국점,충남 아산시,"충청남도 아산시 시민로 455 (온천동, 아산우체국) .",041-548-5024
천안두정역점,충남 천안시 서북구,충청남도 천안시 서북구 두정로 238 (두정동) .,041-566-5148
동해묵호점,강원 동해시,"강원도 동해시 해안로 368 (평릉동, 시드니) .",033-534-8902
경주황성점,경북 경주시,경상북도 경주시 황성로28번길 15 .,054-701-1234
가산디지털단지점,서울 금천구,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) .",02-2028-7111
목포평화점,전남 목포시,전라남도 목포시 미항로 129 .,061-285-0365
(하)단양휴게소점,충북 단양군,충청북도 단양군 적성면 기동리 산 74-1 (중앙고속도로 부산방향) 기동리 423-1,043-423-5401
대전반석역점,대전 유성구,대전광역시 유성구 반석동로40번길 40 (반석동) .,042-714-5808
전북고창점,전북 고창군,전라북도 고창군 고창읍 중앙로 195 (읍내리) .,063-564-3357
(상)거창휴게소점,경남 거창군,"경상남도 거창군 가조면 가조가야로 1523 (도리, 거창휴게소(상)) .",055-943-0992
(서)양산휴게소점,경남 양산시,"경상남도 양산시 동면 목장길 15-50 (내송리, 양산휴게소) .",055-384-0144
(하)거창휴게소점,경남 거창군,경상남도 거창군 가조면 가조가야로 1485-48 (도리) (대구방향) .,055-943-0992
평촌스마트스퀘어점,경기 고양시 일산동구,"경기도 안양시 동안구 시민대로 311, 110호/111호(관양동, 금강스마트빌딩) .",031-421-8097
청주성모병원점,충북 청주시 청원구,"충청북도 청주시 청원구 주중동 589-5, 청주성모병원 본관 .",070-7761-0015
(하)안성휴게소점,경기 안성시,경기도 안성시 원곡면 경부고속도로 365 안성휴게소(부산방향) .,031-655-0531
전주한옥마을점,전북 전주시 완산구,전라북도 전주시 완산구 은행로 16 (풍남동 1가 53-3) 1층,063-288-0801
대전롯데점,대전 서구,"대전광역시 서구 용문로 41-80, 리베라 아이누리주상복합 101 .",042-528-2155
라페스타입구점,경기 고양시 일산동구,경기도 고양시 일산동구 중앙로1275번길 38-15 삼희포시즌프라자 1층 1층,031-904-1991
의정부시청점,경기 의정부시,경기도 의정부시 시민로 57 .,031-826-0009
청주율량점,충북 청주시 청원구,충청북도 청주시 청원구 1순환로 122 .,043-216-1990
대전관저점,대전 서구,"대전광역시 서구 관저중로64번길 26 1,2층 .",042-542-8080
인천검단사거리점,인천 서구,인천 서구 검단로 465 .,070-7766-4494
전주혁신도시점,전북 전주시 완산구,전라북도 전주시 완산구 오공로 33 1~2층,063-221-3361
천안두정점,충남 천안시 서북구,"충청남도 천안시 서북구 오성6길 52, 1층 두정동 779",041-574-0013
오창점,충북 청주시 청원구,"충청북도 청주시 청원구 오창읍 과학산업2로 363, 신우에비뉴엘빌딩 105호 (양청리) .",043-218-2998
(춘)치악휴게소점,강원 원주시,강원도 원주시 신림면 다리실2길 32 0000,033-762-8129
대림역점,서울 영등포구,"서울특별시 영등포구 도림로 140 (대림동, 대림빌딩) .",02-834-1000
(강)여주휴게소점,경기 여주시,경기도 여주시 가남읍 여주남로 722 0,031-882-3120
평택점,경기 평택시,경기도 평택시 평택1로 11 .,031-651-1223
충북진천점,충북 진천군,충청북도 진천군 진천읍 중앙북로 28 2층 .,043-534-8584
청라센터시아점,인천 서구,인천 서구 중봉대로612번길 16 1층 .,032-567-1192
김포골드밸리점,경기 김포시,경기도 김포시 양촌읍 황금로109번길 27 1층,031-998-7233
수원영통점,경기 수원시 영통구,경기도 수원시 영통구 청명남로 10 .,031-202-3356
남부터미널점,서울 서초구,"서울특별시 서초구 서초중앙로 52 (서초동, 영진빌딩) 1층",02-584-9500
고덕리앤파크점,서울 강동구,서울특별시 강동구 상일로 151 (고덕동) 1층,02-441-1121
원주중앙점,강원 원주시,"강원도 원주시 중평길 4, 2~4층 .",033-748-1188
전주송천점,전북 전주시 덕진구,"전라북도 전주시 덕진구 송천로 1, 1-2블럭 2-112,113,136호 1층",063-275-3308
송천솔내점,전북 전주시 덕진구,전라북도 전주시 덕진구 송천동 2가 244-10 1층,063-291-8000
한티역점,서울 강남구,"서울특별시 강남구 도곡로 414 (대치동, 삼성빌딩) .",02-538-8886
강릉항마리나점,강원 강릉시,강원도 강릉시 창해로14번길 51-20 .,070-8816-6543
광주첨단점,광주 광산구,광주광역시 광산구 첨단중앙로 136 1층,062-434-0200
부산수영로터리점,부산 수영구,"부산광역시 수영구 수영로 710-1, 프라임메디컬빌딩 2층 201 .",070-4239-7541
일산레이킨스몰점,경기 고양시 일산서구,경기도 고양시 일산서구 호수로 817 레이킨스몰 138 1층,031.916.1289
(부)치악휴게소점,강원 원주시,강원도 원주시 신림면 치악로 416 0,033-762-8128
간석역남부점,인천 남동구,인천 남동구 석산로 11 .,032-427-7935
충정래미안점,서울 중구,"서울특별시 중구 중림로 21 (중림동, 더플레이스충정로) B204호",02-363-1388
동판교M타워점,경기 성남시,"경기도 성남시 분당구 판교역로241번길 22, 1층 .",031-8017-7557
북가좌점,서울 서대문구,"서울특별시 서대문구 응암로 89 (북가좌동) 1,2층",02-372-5556
수원대학교점,경기 화성시,경기도 화성시 봉담읍 와우안길 20 .,031-224-3856
수원성대역점,경기 수원시,경기도 수원시 장안구 서부로2126번길 10 1층,031-309-1660
광주풍암점,광주 서구,광주광역시 서구 풍금로38번길 11 .,062-652-5505
노량진역점,서울 동작구,서울특별시 동작구 노량진로 157 (노량진동) 2층,02-827-0280
충북대점,충북 청주시 흥덕구,충청북도 청주시 흥덕구 내수동로 53 1~2층,043-266-2248
천호베네시티점,서울 강동구,"서울특별시 강동구 올림픽로 664 (천호동, 대우한강베네시티) 1층",02-476-1122
(하)군위휴게소점,경북 군위군,경상북도 군위군 군위읍 경북대로 4082 춘천방향,070-4162-5309
굽은다리역점,서울 강동구,"서울특별시 강동구 양재대로 1591 , 1층 (천호동 31-2)",02-488-5077
송도IT점,인천 연수구,"인천 연수구 송도과학로 32, 송도테크노파크IT센터 1층-A104호 .",032-209-7979
(하)문경휴게소점,경북 문경시,경상북도 문경시 중부내륙고속도로 173 .,054-554-1655
서울대사거리점,서울 관악구,"서울특별시 관악구 관악로 172, 2층 봉천동 857-4",02-877-6070
도심공항점,서울 강남구,"서울특별시 강남구 테헤란로87길 22 (삼성동, 한국도심공항터미널, 2층)   .",02-2016-5400
광화문LG점,서울 종로구,"서울특별시 종로구 새문안로 58 (신문로2가, LG광화문빌딩) 1층, 지하1층",02-720-6994
건대입구점,서울 광진구,서울특별시 광진구 아차산로 235 (화양동)  235 (화양동),02-463-1983
광화문점,서울 중구,서울특별시 중구 세종대로21길 55 (태평로1가) 1층,02-738-8004
청담점,서울 강남구,서울특별시 강남구 학동로 517 (청담동) 1층,02-515-9915
진주교대점,경남 진주시,경상남도 진주시 진양호로 348 .,055-745-3303
계양점,인천 계양구,인천 계양구 도두리로 14 맘모스타운 1층 102호 .,032-551-1166
방이점,서울 송파구,"서울특별시 송파구 오금로11길 44 (방이동, 동주골프연습장) 1층 방이동 56-1",02-415-7705
광주봉선점,광주 남구,"광주광역시 남구 봉선중앙로 21, 1층 1층",062-651-7888
이수역점,서울 동작구,"서울특별시 동작구 동작대로 83 (사당동, 헤라피스빌딩) 1층",02-588-4845
안산NC고잔점,경기 안산시 단원구,경기도 안산시 단원구 광덕대로 194  안산NC고잔점 A관 1층,031-436-4181
방배점,서울 서초구,"서울특별시 서초구 남부순환로 2335 (방배동, 옥스포드빌딩) .",02-581-4858
분당서현점,경기 성남시,"경기도 성남시 분당구 황새울로 315, 1층 104 (서현동, 대현빌딩) .",031-781-6254
부천중동점,경기 부천시 원미구,"경기도 부천시 원미구 소향로 203, B동 109-110호  중동 1152-3 매트로펠리스 B동1층",032-325-6766
제주이도점,제주 제주시,제주특별자치도 제주시 승천로 71 .,064-752-3005
돈암점,서울 성북구,서울특별시 성북구 동소문로20가길 28 (동선동1가) .,02-924-6114
테크노마트점,서울 광진구,"서울특별시 광진구 광나루로56길 85 (구의동, 테크노-마트21) 9층",02-3424-8484
산본점,경기 군포시,"경기도 군포시 번영로 505 1층 (산본동, 대우디오플러스)  ",031-392-5999
광주충장로점,광주 동구,광주광역시 동구 충장로안길 43 .,062-223-0688
교통회관점,서울 송파구,"서울특별시 송파구 올림픽로 319 (신천동, 새마을 교통회관) 1층",02-3431-1120
역삼스타점,서울 강남구,"서울특별시 강남구 테헤란로26길 12, 1층 (역삼동 736-56) 할리스",02-501-4142
부산경성대2호점,부산 남구,"부산광역시 남구 수영로 306, 3층 (대연동 72-1) 할리스",051-611-3021
김포공항점,서울 강서구,서울특별시 강서구 하늘길 112 김포공항 국내선청사 1층,02-2064-0312
여의도하나투자점,서울 영등포구,서울특별시 영등포구  의사당대로 82 1층 할리스,02-761-7231
구산역점,서울 은평구,서울특별시 은평구 연서로 135 (구산동 1-7) 할리스 ,02-351-3094
부산송정점,부산 해운대구,부산광역시 해운대구 송정광어골로 77 (송정동 443-5) 할리스,051-701-5591
광나루역점,서울 광진구,"서울특별시 광진구 천호대로 808, 광장현대홈타운 제1202동 상가 1층 (광장동 580) 할리스",02-444-0542
부산광안대교점,부산 수영구,"부산광역시 수영구 광안해변로 217, 호메르스관광호텔 1층 (광안동 93-1) 할리스",051-754-9985
광주전남대점,광주 북구,광주광역시 북구 우치로 90(용봉동) 할리스,062-251-1966
대전도안DT점,대전 유성구,"대전광역시 유성구 도안동로 488,1-3층 할리스",042-824-4931
세로수길점,서울 강남구,서울특별시 강남구 강남대로152길 41 (신사동 536-6) 할리스,02-511-1473
목동점,서울 양천구,"서울특별시 양천구 목동서로 159-1 CBS 1,2층 CBS 1,2층 할리스",02-2062-1063
광주아울렛점,광주 서구,광주광역시 서구  상무대로 633,062-385-5122
울산디자인거리점,울산 남구,울산광역시 남구 돋질로302번길 38 (삼산동 1575-22) 할리스,052-256-0566
분당율동공원점,경기 성남시 분당구,경기도 성남시 분당구 문정로 140 (율동) 할리스,031-701-0680
당산역점,서울 영등포구,서울특별시 영등포구 당산로 219 ,02-2631-3446
무교점,서울 중구,"서울특별시 중구   무교로 28, 시그너스빌딩 1층 (무교동 7번지)",02-318-0988
수원권선행복점,경기 수원시 권선구,경기도 수원시 권선구  권광로 119 (권선동) 1층 할리스,031-221-7895
부산동래역점,부산 동래구,"부산광역시 동래구 삼성대길 34-25, 1~3층 (명륜동 502-4) 할리스",051-552-2990
연신내점,서울 은평구,"서울특별시 은평구 연서로 212, (대조동 199-28) 할리스",02-388-3977
잠실광고회관점,서울 송파구,"서울특별시 송파구 올림픽로35길 137, 한국방송문화회관 1층 (신천동 7-11) 할리스",02-2144-0888
창원상남점,경남 창원시 성산구,경상남도 창원시 성산구 마디미로31번길 3 (상남동 상남동 18-9) 할리스,055-261-5955
배명사거리점,서울 송파구,"서울특별시 송파구 백제고분로 275, 1층 (석촌동 14-7) 할리스",02-422-4915
서울대예술문화점,서울 관악구,서울특별시 관악구 관악로 1 서울대예술복합계연구동 1층,02-877-7186
낙성대역점,서울 관악구,서울특별시 관악구 남부순환로 1922 ,070-4716-0775
노원문화의거리점,서울 노원구,서울특별시 노원구 노해로81길 22-26 할리스,02-935-8231
